album_id,title,artist_id,album_type,release_year,release_date,track_count,label,upc,spotify_id,musicbrainz_id,source_dataset
000YOrgQoB5IiiH95Yb8vY,The Road,artist:5e640c3e-4a97-4028-cc7f-3b2209ebcb6d,album,2019,,1,,,000YOrgQoB5IiiH95Yb8vY,,tidy_tuesday_dbcl
000f3dTtvpazVzv35NuZmn,"Make It Fast, Make It Slow (Soundway Records)",artist:760061f6-bfde-75c2-9af1-2f252d4d3345,album,2012,,1,,,000f3dTtvpazVzv35NuZmn,,tidy_tuesday_dbcl
006AgHXrEw13oyg0D8evRa,Bad Boy Greatest Hits Vol. 1,artist:7f6ffaa6-bb0b-4080-17b6-2254211691b5,album,1998,,1,,,006AgHXrEw13oyg0D8evRa,,tidy_tuesday_dbcl
006XcK33PV5wCV9g629nYA,A.E.I.O.U.R.E.M.I.X.E.S,artist:321c84ad-55f9-0817-8779-9b087216a2ae,album,2013,,1,,,006XcK33PV5wCV9g629nYA,,tidy_tuesday_dbcl
006qPzTTwYGb4t4glyTaLw,Bratva iv - Hololo,artist:60089ca0-c506-a23b-4138-2ab9ec655173,album,2019,,1,,,006qPzTTwYGb4t4glyTaLw,,tidy_tuesday_dbcl
006wfSK6TYpZIFU9yEzPEo,Let Me Down,artist:41e65597-a7bd-9945-97fb-b98cf6779c19,album,2018,,1,,,006wfSK6TYpZIFU9yEzPEo,,tidy_tuesday_dbcl
007354CLF8nvIbRN7Gwns9,Different Place,artist:de8951d7-767a-98d1-5ef0-65faa35d284b,album,2018,,1,,,007354CLF8nvIbRN7Gwns9,,tidy_tuesday_dbcl
008YlPoRP6UXxI7L5rKzuZ,Into The Wild,artist:bf73d632-dc6d-a534-3551-1440f4c43e87,album,2015,,1,,,008YlPoRP6UXxI7L5rKzuZ,,tidy_tuesday_dbcl
00AVS4xDGxD61LgiIkDaN7,OTRA COSA,artist:43f2caee-e6d1-ecec-2ec7-8d7d9adee41d,album,2019,,2,,,00AVS4xDGxD61LgiIkDaN7,,tidy_tuesday_dbcl
00DKwMpzeC9SVGOJ7NQrnp,Aquaman,artist:a9418fa3-7bfb-b7c5-a79c-b29e524cc6a6,album,2020,,1,,,00DKwMpzeC9SVGOJ7NQrnp,,tidy_tuesday_dbcl
00EOQfdcSXeO6z4kVDDR5o,Young And Beautiful [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix Radio Edit),artist:6843f1ff-fdc2-bf82-a7dc-08584717b008,album,2013,,1,,,00EOQfdcSXeO6z4kVDDR5o,,tidy_tuesday_dbcl
00F2WYqMkwJIEvfsHToDoA,Tremor (Sensation 2014 Anthem),artist:546fbe0b-0a04-1f3c-72ce-f8401cec38a0,album,2014,,1,,,00F2WYqMkwJIEvfsHToDoA,,tidy_tuesday_dbcl
00Gbe3lGwcNlWn9JvlvBhD,Mil historias,artist:4c74e7e7-1d22-7d7a-5b17-d5892c200c02,album,2019,,1,,,00Gbe3lGwcNlWn9JvlvBhD,,tidy_tuesday_dbcl
00JqqbMAn0sReZIOz44jiu,Nur Noch Nice,artist:7df5710a-85cb-02d1-53b6-2ec188635595,album,2019,,1,,,00JqqbMAn0sReZIOz44jiu,,tidy_tuesday_dbcl
00N0PKZnGha0hFnUF6IZ5k,Treat You Better (Ashworth Remix),artist:56ba83e4-b88a-0631-fb9b-7724b4795b74,album,2016,,1,,,00N0PKZnGha0hFnUF6IZ5k,,tidy_tuesday_dbcl
00NABajpGsPCObfcl4LJsM,My Love Is Your Love,artist:f4946232-4c73-a2b0-ca74-becbf7b1fe7d,album,1998,,1,,,00NABajpGsPCObfcl4LJsM,,tidy_tuesday_dbcl
00PSvUy1DSQCnMfe1mDLUZ,Self-Titled Album,artist:a207e4b4-41b7-54cf-2d69-3cfd69a8fcaa,album,2009,,3,,,00PSvUy1DSQCnMfe1mDLUZ,,tidy_tuesday_dbcl
00PVyz795j3wR1Q2FEyWcp,Bring It To Me,artist:981c9130-e147-b957-4794-61fec9fb31de,album,2018,,1,,,00PVyz795j3wR1Q2FEyWcp,,tidy_tuesday_dbcl
00Q2DyNThd3k0CrmAs2fNG,Kung Fu,artist:f5f856fb-a3a4-bd16-ee6e-f8796e466811,album,2016,,1,,,00Q2DyNThd3k0CrmAs2fNG,,tidy_tuesday_dbcl
00SUSEqaqVOfp4tGh9Mryn,Brass 2.0,artist:0586897f-d31f-9fdf-6e3e-dcf7071a091c,album,2017,,1,,,00SUSEqaqVOfp4tGh9Mryn,,tidy_tuesday_dbcl
00TVWXNj7RLb6WDWjRVtDL,Don't Start Now (Kungs Remix),artist:f40312bf-efb2-5034-0360-eada74cb64c4,album,2019,,1,,,00TVWXNj7RLb6WDWjRVtDL,,tidy_tuesday_dbcl
