artist_id,name,name_normalized,country_of_origin,career_start_year,primary_genre_l1,primary_genre_l2,spotify_followers,spotify_popularity,monthly_listeners,musicbrainz_id,lastfm_listeners,lastfm_play_count,is_solo_artist,source_dataset
artist:000347dd-e0b0-a87a-8638-ea93e2fa1653,Baskerville,baskerville,,2017,Metal,Heavy Metal,,,,,,,,compiled_multi_source
artist:00048daf-510a-51ec-64c9-a347cc29b997,Shion Tsuji,shion tsuji,,2009,Folk,Singer-Songwriter,,,,,,,,compiled_multi_source
artist:00057abd-bcac-477a-074a-7e93e217674e,Yu Takahashi,yu takahashi,,2010,Folk,Acoustic,,,,,,,,compiled_multi_source
artist:0006978c-83ee-4981-1dd4-764bc9b27ef4,Jimmy Gourley,jimmy gourley,,2004,Instrumental,Guitar,,,,,,,,compiled_multi_source
artist:00080783-707a-2414-a10e-00aa1c54622a,J Bas Y Santy,j bas y santy,,2019,Latin,Latin,,,,,,,,compiled_multi_source
artist:0008fec2-3531-0f7c-12b9-1a7563bdc77e,TK N Cash,tk n cash,,2014,Hip-Hop,Hip-Hop,,,,,,,,compiled_multi_source
artist:00090478-00b5-21c8-65c4-c4f308a979c9,Tango Siempre,tango siempre,,2008,Latin,Tango,,,,,,,,compiled_multi_source
artist:0009cfc6-a2f4-d888-2beb-aa5530427829,Kideko,kideko,,2015,Electronic,Deep House,,,,,,,,compiled_multi_source
artist:000a2f01-80fd-07f9-29d1-9c86e08a6bd1,Chris Young,chris young,,2006,Country,Country,2918550.0,65.0,,,,,,compiled_multi_source
artist:000c69c5-05fa-6523-313e-e2387ee41f4b,Lonely God,lonely god,,2018,Pop,Indie Pop,,,,,,,,compiled_multi_source
artist:000c977a-0d0d-4f14-aba6-d77c71ea8bc5,Los Kjarkas,los kjarkas,,2001,Folk,Folk,,,,,,,,compiled_multi_source
artist:000d0194-cf8f-4d3a-fd99-14cf7a29fb1d,Shaun Escoffery,shaun escoffery,,2001,Electronic,Deep House,,,,,,,,compiled_multi_source
artist:000e81c5-e3f8-8bf7-2ce3-5c76f8a3f6cb,Gowan,gowan,,2008,Rock,Rock,,,,,,,,compiled_multi_source
artist:000f1456-1416-cddf-34ed-2097e6f9b46d,The Old Dead Tree,the old dead tree,,2003,World,French,,,,,,,,compiled_multi_source
artist:000fe1e9-c37f-2f5d-37f0-2ce3fa8b4a39,Nachtmystium,nachtmystium,,2008,Metal,Black Metal,,,,,,,,compiled_multi_source
artist:0010001b-3dea-5218-d756-b7c3bd664e07,Silenx,silenx,,2012,Electronic,Disco,,,,,,,,compiled_multi_source
artist:0010c6d8-214b-2e0d-bcce-46f52cca3734,Despite,despite,,2016,Rock,Goth,,,,,,,,compiled_multi_source
artist:0011f16e-6c5a-5d81-9a45-189d59a91734,Super Lunch,super lunch,,2017,Rock,Garage Rock,,,,,,,,compiled_multi_source
artist:00125f99-34cf-e480-9218-2f8174620340,Horkýže Slíže,horke sle,,2003,Rock,Punk Rock,,,,,,,,compiled_multi_source
artist:00145b61-fc44-237f-1057-3083fcf472e7,Jung Jin Woo,jung jin woo,,2015,Electronic,Chill,,,,,,,,compiled_multi_source
artist:0014d262-5eff-e370-246c-578505904e39,La Ska Brass,la ska brass,,2018,Rock,Ska,,,,,,,,compiled_multi_source
artist:0014e429-116b-1406-6294-233a717a5dfb,Color It Red,color it red,,2005,Rock,Alt-Rock,,,,,,,,compiled_multi_source
artist:0016cf6c-8711-bc16-0dfc-3d8aa1cef1a1,Superchunk,superchunk,,2000,Pop,Power Pop,,,,,,,,compiled_multi_source
artist:0017a731-969b-5397-cc4d-601917616f68,Daniele Mastracci,daniele mastracci,,2015,R&B,Groove,,,,,,,,compiled_multi_source
artist:001893ca-d478-ca4c-54c0-a0c1a6cd69f8,Joao Do Vale,joao do vale,,2003,Latin,Forró,,,,,,,,compiled_multi_source
artist:0018ed92-da5f-392d-70da-7c6dadfe649d,The Materia,the materia,,2023,Metal,Metalcore,,,,,,,,compiled_multi_source
artist:0018f48e-c1f9-09ec-3b42-e4b063d377b9,Autumnblaze,autumnblaze,,2000,Metal,Black Metal,,,,,,,,compiled_multi_source
artist:001af529-e98c-7669-3f7b-a9d789685125,ABstraXT,abstraxt,,2003,Metal,Metalcore,,,,,,,,compiled_multi_source
artist:001c6bda-cf8f-5316-6c94-40d67ed56918,Peter Fox,peter fox,,2008,World,German,,,,,,,,compiled_multi_source
artist:001de54b-ef75-00e7-6ac1-ee0130decc11,Aytee,aytee,,2015,World,German,,,,,,,,compiled_multi_source
artist:001f5a5f-5049-2fc9-53ac-d9cc31059ce2,Itadi,itadi,,2013,Rock,Rock,,,,,,,,compiled_multi_source
artist:002123f4-573a-846d-f9e4-79094f7f3a5e,Five Horse Johnson,five horse johnson,,2001,Blues,Blues,,,,,,,,compiled_multi_source
artist:00216c24-2ce7-b2b6-509a-e2595da40f03,Andrew Weatherall,andrew weatherall,,2006,Electronic,House,,,,,,,,compiled_multi_source
artist:00242e04-9c41-d8b6-2be9-c5ca04b7870c,All Star Quartets!,all star quartets,,2002,Gospel,Gospel,,,,,,,,compiled_multi_source
artist:0026025c-7a13-0e28-a1b0-76a29efe051d,Scott Cossu,scott cossu,,2002,Electronic,New Age,,,,,,,,compiled_multi_source
artist:0026835e-09c7-2b37-cd67-ab2c4bad6fb9,Cryptic Void,cryptic void,,2015,Metal,Grindcore,,,,,,,,compiled_multi_source
artist:002716d3-6ff9-943c-6126-f5b50e5c14ba,Palito Ortega,palito ortega,,2000,Rock,Rock N Roll,,,,,,,,compiled_multi_source
artist:002796cc-790f-7256-68ad-28e6411e97fa,Denis Impulsywni,denis impulsywni,,2020,Electronic,Disco,,,,,,,,compiled_multi_source
artist:002a3b38-e944-fe21-99c5-d00a0ec14143,TV Noise,tv noise,,2018,Electronic,EDM,,,,,,,,compiled_multi_source
artist:002a873f-65ed-1f49-2121-c0a424f5fa04,Daniella Babbitt,daniella babbitt,,2020,Classical,Piano,,,,,,,,compiled_multi_source
artist:002b0ded-dac1-8ebd-83a3-bee6f702705f,The Rudeboyz,the rudeboyz,,2019,Latin,Latin,,,,,,,,compiled_multi_source
artist:002b65bc-1a8b-bce9-0af7-db5e3f66897d,Boza,boza,,2020,Pop,Pop,,,,,,,,compiled_multi_source
artist:002c2ddc-4f30-fd61-d366-d948ff41073a,Dolly Shine,dolly shine,,2013,Country,Country,,,,,,,,compiled_multi_source
artist:002e0a9d-bd41-0597-cef3-38806d1f929e,The Dangerous Summer,the dangerous summer,,2007,Rock,Emo,,,,,,,,compiled_multi_source
artist:002ff1a7-ba54-f8d6-66a2-c68c32abc8c2,Elise Davis,elise davis,,2018,Folk,Singer-Songwriter,,,,,,,,compiled_multi_source
artist:00308e8e-4128-84af-b364-bc4fd7a92d49,Samantha Mumba,samantha mumba,,2000,Electronic,Dance,,,,,,,,compiled_multi_source
artist:00312e97-dce0-7376-72df-d52fe5b857d1,Hayden Thompson,hayden thompson,,2009,Rock,Rock N Roll,,,,,,,,compiled_multi_source
artist:00315c5d-7fc7-6348-4e9f-d6cb8f9d1aa2,Giuseppe Ottaviani,giuseppe ottaviani,,2005,Electronic,Trance,,,,,,,,compiled_multi_source
artist:00356022-9e11-b161-1e8e-bf9fd83b9ee8,Arthur Bull,arthur bull,,2000,Instrumental,Guitar,,,,,,,,compiled_multi_source
artist:0035ac84-7bf9-e371-750c-acbc98ad827b,Hexvessel,hexvessel,,2012,Rock,Psych-Rock,,,,,,,,compiled_multi_source
artist:0038b285-c8d1-7597-906f-99b88cd0fb9d,Gharbi Sadok,gharbi sadok,,2017,R&B,Groove,,,,,,,,compiled_multi_source
artist:0039aee8-e3b5-084f-fd1a-4926fed829fa,Zuna,zuna,,2016,Hip-Hop,German,,,,,,,,compiled_multi_source
artist:003a09e3-a225-15f4-6ac5-5fe40aa186a7,Jesse Bru,jesse bru,,2015,Electronic,Disco,,,,,,,,compiled_multi_source
artist:003c57d5-62c9-6560-85fc-b45d2a661005,Kweller,kweller,,2022,R&B,Funk,,,,,,,,compiled_multi_source
artist:003d1ffd-03d4-8bf5-cd25-d6f5d9bfc515,Los Belmonts,los belmonts,,2004,Rock,Rock N Roll,,,,,,,,compiled_multi_source
artist:003d643b-e8ca-3eb1-2ed9-0aac13c98e8f,Hardstyle Mafia,hardstyle mafia,,2010,Electronic,Hardstyle,,,,,,,,compiled_multi_source
artist:003dbc8b-e70c-b404-3a64-d2f4dbaab9d1,Carin Leon,carin leon,,2018,Pop,Mood,,,,,,,,compiled_multi_source
artist:003e3e34-7ef0-5230-5c84-8d1e9c83b264,Tears Of Velva,tears of velva,,2004,Electronic,Deep House,,,,,,,,compiled_multi_source
artist:003e9ff7-13b6-4a31-7c69-f60857d99700,Kick The Habit,kick the habit,,2013,Reggae,Dub,,,,,,,,compiled_multi_source
artist:003f09d0-70d8-37ce-7d0f-fa7ba933649b,周麗淇,,,2005,Pop,Cantopop,,,,,,,,compiled_multi_source
artist:003f5a6f-06ec-c636-5f93-b1e2c173dd7b,Breakwater,breakwater,,1978,Rock,Rock,,,,,,,,compiled_multi_source
artist:003fd717-bac6-d99c-7f67-20d71329734b,Buzz Martin,buzz martin,,2005,Country,Country,,,,,,,,compiled_multi_source
artist:0040f066-8b28-bc72-7033-a510cbb398d8,Louis Vierne,louis vierne,,2000,Classical,Classical,,,,,,,,compiled_multi_source
artist:00415dcf-87e9-0d39-dad5-4805031b15a6,Elizabeth Cook,elizabeth cook,,2007,Country,Country,,,,,,,,compiled_multi_source
artist:00416cc3-2fdd-74a5-0851-442d4eccd18f,Zebatin,zebatin,,2020,Electronic,Chill,,,,,,,,compiled_multi_source
artist:0041c3dc-c6ee-8335-d0ab-63ad198000e5,Salva Ortega,salva ortega,,2017,Latin,Spanish,,,,,,,,compiled_multi_source
artist:0041f899-3922-9e0b-ac40-2febf08add68,Desmond Pringle,desmond pringle,,2001,Gospel,Gospel,,,,,,,,compiled_multi_source
artist:00424f87-9f82-aa5f-71b5-e5ca1d71ad5d,Grandtheft,grandtheft,,2013,Electronic,Electro,,,,,,,,compiled_multi_source
artist:00431bd0-7cf0-c8fb-6b66-5596c4677cd3,The Chemical Brothers,the chemical brothers,,2000,Electronic,Breakbeat,,,,,,,,compiled_multi_source
artist:0043e72a-43a2-99f1-1dc4-ad7559e9c266,Ecostrike,ecostrike,,2017,Metal,Hardcore,,,,,,,,compiled_multi_source
artist:00448a6c-89cb-b67b-c140-92850de5e09b,Lady A,lady a,,2008,Country,Country,,,,,,,,compiled_multi_source
artist:00499452-fa50-1bb0-01a3-fedf04e2b5f2,Lani Mo,lani mo,,2012,Rock,Goth,,,,,,,,compiled_multi_source
artist:004c6da5-aa3d-3d77-1b56-8e988b9cc8ab,Tha Dogg Pound,tha dogg pound,,1995,R&B,Funk,,,,,,,,compiled_multi_source
artist:004cf6a7-8eb2-ede1-b86e-9c6527658cf0,Nekkrosis,nekkrosis,,2009,Metal,Grindcore,,,,,,,,compiled_multi_source
artist:004d8686-80b8-b009-4eed-e346e7f91195,Noréll,norll,,2015,Electronic,EDM,,,,,,,,compiled_multi_source
artist:004da0fa-2a36-e7f2-568c-ed5ba1cea6ce,Sickddellz,sickddellz,,2016,Electronic,Hardstyle,,,,,,,,compiled_multi_source
artist:004e200d-47a7-9eb7-78d0-5023b7a47c2a,Chiquinho Dos Santos,chiquinho dos santos,,2010,Latin,Samba,,,,,,,,compiled_multi_source
artist:004e4a72-40aa-4752-d0a5-64d370f10ba7,梁雁翎,,,2004,Pop,Cantopop,,,,,,,,compiled_multi_source
artist:004fabe7-cfcb-250d-5662-eb53b16293a2,RBX,rbx,,2003,R&B,Funk,,,,,,,,compiled_multi_source
artist:004fd73a-fbd1-bfec-9391-9fb6dd812624,Anastacia,anastacia,,2000,Electronic,Dance,,,,,,,,compiled_multi_source
artist:004ff04f-1e10-5f8b-fa18-947d4fa79654,Le Fly,le fly,,2022,Rock,Ska,,,,,,,,compiled_multi_source
artist:00508431-fd76-e830-9933-12b29891a8d0,Devil in a Woodpile,devil in a woodpile,,2000,Instrumental,Guitar,,,,,,,,compiled_multi_source
artist:00510c64-d2b9-f5c7-11bf-88ec50d31875,Johnny Nicholas,johnny nicholas,,2001,Blues,Blues,,,,,,,,compiled_multi_source
artist:0052e368-aacb-42b3-9b2d-1311d90c6075,Gary L'Ange Noir,gary lange noir,,2002,Rock,Rock N Roll,,,,,,,,compiled_multi_source
artist:00537bfc-a98e-1d69-b628-53c48772c1d0,Jiminy Hop,jiminy hop,,2020,Electronic,Trance,,,,,,,,compiled_multi_source
artist:005413b6-5293-13c0-99e2-2652a691e961,So Chanwhee,so chanwhee,,2006,Pop,K-Pop,,,,,,,,compiled_multi_source
artist:00559ea7-64f3-549e-2a9c-714ecd8af73f,ren,ren,,2019,Rock,Rock,,,,,,,,compiled_multi_source
artist:0055a9d3-f74c-9f61-8da9-7240118bd4f8,The Beets,the beets,,2009,Rock,Garage Rock,,,,,,,,compiled_multi_source
artist:0055b9e4-ed92-1556-be0b-6c6283f5a2fc,Upon Your Dead Body,upon your dead body,,2022,Rock,Punk,,,,,,,,compiled_multi_source
artist:0055dca5-a1bb-5f01-1661-eab6440936ef,Anthracite,anthracite,,2018,Electronic,Techno,,,,,,,,compiled_multi_source
artist:00582584-72bf-4316-fb66-fb376b42b2ce,Sinne Eeg,sinne eeg,,2007,Jazz,Jazz,,,,,,,,compiled_multi_source
artist:0058bea5-3114-fce1-6f8b-de8782385161,Musqitone,musqitone,,2019,Hip-Hop,Hip-Hop,,,,,,,,compiled_multi_source
artist:0058ce6d-2b27-06f4-40c8-d1ddbc8ccd2e,Teen Camp Choir,teen camp choir,,2014,Gospel,Gospel,,,,,,,,compiled_multi_source
artist:005cac0e-be37-190b-50eb-1a1cdf91dc6a,A Doom,a doom,,2007,Metal,Heavy Metal,,,,,,,,compiled_multi_source
artist:005df8dd-e3bc-9f0f-f583-09a301ef2a35,Marcelo Dias e Fabiana,marcelo dias e fabiana,,2007,Gospel,Gospel,,,,,,,,compiled_multi_source
artist:005e8e89-b40b-3537-cad7-0cb03bef0f04,Isak Strand vs. TOE,isak strand vs toe,,2009,World,Swedish,,,,,,,,compiled_multi_source
artist:005f8f4c-2e8b-4c51-4ca6-c9c5c05a446a,CHRYS THOMPSON,chrys thompson,,2019,Latin,Latin,,,,,,,,compiled_multi_source
artist:0061a8ce-5ed1-9197-446b-07c94761b62d,Mysticum,mysticum,,2013,Metal,Black Metal,,,,,,,,compiled_multi_source
artist:00625b33-36b6-853e-470e-0b449391d2c7,Poppy Ackroyd,poppy ackroyd,,2017,Electronic,Ambient,,,,,,,,compiled_multi_source
artist:0062e7b8-5a3c-b97f-a97e-0f96e6c48891,Full Tilt,full tilt,,2008,Electronic,Trance,,,,,,,,compiled_multi_source
artist:00648c6e-3d06-10b6-814f-39c963280da7,Jenna Drey,jenna drey,,2003,Electronic,Deep House,,,,,,,,compiled_multi_source
artist:00679e38-a14c-5259-734e-233d6fd08b47,Eskadet,eskadet,,2010,Electronic,Chill,,,,,,,,compiled_multi_source
artist:00685ae8-c1d9-359b-4fc5-65e06e9493bd,Alessandro Diga,alessandro diga,,2010,Electronic,Minimal Techno,,,,,,,,compiled_multi_source
artist:00696fb7-82fe-5e25-cf37-61b1ef85b176,Palatine,palatine,,2018,World,French,,,,,,,,compiled_multi_source
artist:006a740d-719e-7e0f-e800-539f14759569,Lifes Punishment,lifes punishment,,2023,Electronic,Industrial,,,,,,,,compiled_multi_source
artist:006b2206-55be-bb80-9fd7-c2ce4ffeaaeb,Chordashian,chordashian,,2014,Electronic,Disco,,,,,,,,compiled_multi_source
artist:006ce492-2072-b1e7-f8b7-33347fe1a40b,MANDY,mandy,,2015,Electronic,Hardstyle,,,,,,,,compiled_multi_source
artist:006ce492-2072-b1e7-f8b7-33347fe1a40b,Mandy,mandy,,2021,Jazz,Jazz,,,,,,,,compiled_multi_source
artist:006d9c06-2361-5070-d1bc-505a547dd85d,Abel Ramos,abel ramos,,2010,Electronic,EDM,,,,,,,,compiled_multi_source
artist:006e2677-c8e9-dce8-1a69-4d9007b4ff69,Frédéric François,frdric franois,,2001,World,French,,,,,,,,compiled_multi_source
artist:006e4a33-eefe-e5f1-3e0b-5d03655daa48,Berlioz,berlioz,,2018,Classical,Piano,,,,,,,,compiled_multi_source
artist:006ee36d-083b-4e7a-46f2-1f956e128638,Anunaku,anunaku,,2019,Electronic,Club,,,,,,,,compiled_multi_source
artist:006fb1f8-2ecf-4830-0e69-ba8e486cc8b8,SecondShot,secondshot,,2005,Rock,Punk,,,,,,,,compiled_multi_source
artist:006fb824-90c5-5840-45f4-8bdd141e662f,Douchebagz,douchebagz,,2020,Metal,Death Metal,,,,,,,,compiled_multi_source
artist:007069d2-bc17-e9f5-44a2-b47c29552084,Tommy Ellison,tommy ellison,,2001,Gospel,Gospel,,,,,,,,compiled_multi_source
artist:007146d3-ca74-4277-a78c-657ed268fc03,[ALEXANDROS],alexandros,,2018,Rock,Rock,,,,,,,,compiled_multi_source
artist:007146d3-ca74-4277-a78c-657ed268fc03,[Alexandros],alexandros,,2021,Rock,Rock,,,,,,,,compiled_multi_source
artist:00719127-47f6-bd9c-e09c-633770219e51,Pascal Junior,pascal junior,,2013,R&B,Groove,,,,,,,,compiled_multi_source
artist:0072f289-c23e-e7a8-ec83-5af5afee251a,林強,,,2001,Folk,Singer-Songwriter,,,,,,,,compiled_multi_source
artist:007312f0-7f7d-d51e-051f-4aa722171110,Bossacucanova,bossacucanova,,2001,Latin,Samba,,,,,,,,compiled_multi_source
artist:007329de-06ff-ba9d-ba12-61c033c576f7,Phantom Blues Band,phantom blues band,,2006,Blues,Blues,,,,,,,,compiled_multi_source
artist:0074e388-60ae-3358-98d7-ca2d383a9f28,Svartanatt,svartanatt,,2018,World,Swedish,,,,,,,,compiled_multi_source
artist:0075ab56-17d7-f0d0-1c01-7e92e8a46e22,FPU,fpu,,2002,Electronic,Electro,,,,,,,,compiled_multi_source
artist:00763ba0-32de-2b4a-eb2c-9329aa522609,Nasenbluten,nasenbluten,,2000,Electronic,Techno,,,,,,,,compiled_multi_source
artist:00792121-9a3c-a1eb-b2b5-a872120d2cb8,Yvncc,yvncc,,2019,Hip-Hop,Hip-Hop,,,,,,,,compiled_multi_source
artist:0079f321-b64a-4e30-a95f-e97685e6efdd,Matvey Blanter,matvey blanter,,2003,Classical,Classical,,,,,,,,compiled_multi_source
artist:007b1d4b-ec35-1a79-54f9-7a9e50457fc3,The Kicks,the kicks,,2012,Hip-Hop,Hip-Hop,,,,,,,,compiled_multi_source
artist:007cac65-6a00-f010-44ca-9b893edc80e9,Paras Nath,paras nath,,2005,World,Indian,,,,,,,,compiled_multi_source
artist:007cf509-0b67-aef7-aedd-6535b8b9d30e,Zelijah Tishbite,zelijah tishbite,,2022,Gospel,Gospel,,,,,,,,compiled_multi_source
artist:007d1abc-6508-d900-7fc4-8d8aec4c064a,Little North,little north,,2022,Jazz,Jazz,,,,,,,,compiled_multi_source
artist:007e2899-b694-5ec5-ba2c-e48c2238534d,Ant Wan,ant wan,,2019,World,Swedish,,,,,,,,compiled_multi_source
artist:00824078-f0fa-e9fa-d0a6-71dcb6295f4a,Lil Wayne,lil wayne,,1999,Hip-Hop,Hip-Hop,17938214.0,86.0,,,,,,compiled_multi_source
artist:008270b6-53e9-ea67-a069-3f30d0ceac78,Ida Bang & The Blue Tears,ida bang  the blue tears,,2015,World,Swedish,,,,,,,,compiled_multi_source
artist:008406cd-bf11-abc9-56e5-4b15bf67eb94,LU KALA,lu kala,,2018,Pop,Pop,,,,,,,,compiled_multi_source
artist:008423d4-bae7-8446-a3e7-afbab3f884b2,Valeriy Agafonov,valeriy agafonov,,2006,Pop,Romance,,,,,,,,compiled_multi_source
artist:0084a768-5b54-8273-9218-ee767fad1a31,Cyrus Chestnut,cyrus chestnut,,1998,Classical,Piano,,,,,,,,compiled_multi_source
artist:0084caed-29d9-2226-d645-85f7976516fd,NUTRONIC,nutronic,,2018,Electronic,Electronic,,,,,,,,compiled_multi_source
artist:00856b11-1c14-ba70-0fcb-71b446f0cb92,Hridoy Khan,hridoy khan,,2008,Pop,Pop,,,,,,,,compiled_multi_source
artist:008758c1-d83f-b775-8887-c13fe8d5a771,Alessandro Simonetto,alessandro simonetto,,2023,Classical,Piano,,,,,,,,compiled_multi_source
artist:00886e6b-ec8f-1a10-99e3-f59b456e7e41,Roberto Palmero,roberto palmero,,2020,Electronic,Deep House,,,,,,,,compiled_multi_source
artist:008af25a-313d-2f08-608d-423ae57538df,Pee Wee Gaskins,pee wee gaskins,,2010,Rock,Emo,,,,,,,,compiled_multi_source
artist:008b2a64-fe88-74fc-0b12-354ac665b7b5,Tholen,tholen,,2010,Electronic,Ambient,,,,,,,,compiled_multi_source
artist:008be042-4e23-55a4-f8d3-f9092dc31e52,La Zarra,la zarra,,2021,World,French,,,,,,,,compiled_multi_source
artist:008d7ff1-a993-f5b5-7a95-1bf12548aeaa,The Sushi Club,the sushi club,,2006,Electronic,Ambient,,,,,,,,compiled_multi_source
artist:008db341-67e3-f605-7dd6-df007cd21b3c,South Park Mexican,south park mexican,,2000,Hip-Hop,Hip-Hop,,,,,,,,compiled_multi_source
artist:008e0b0d-054f-1c23-e254-6f4b5257f8a1,Brokenears,brokenears,,2019,Electronic,Disco,,,,,,,,compiled_multi_source
artist:008e3319-39d4-b172-f78e-6c1ce15de4f3,Alejandra Guzman,alejandra guzman,,1990,Pop,Pop,,,,,,,,compiled_multi_source
artist:008e671c-09c8-5da8-6469-eea1f160c289,Michael Paulo,michael paulo,,2006,Jazz,Jazz,,,,,,,,compiled_multi_source
artist:008f4752-7828-dd52-e77d-cf11f6cc583b,Spermbirds,spermbirds,,2006,World,German,,,,,,,,compiled_multi_source
artist:008f5233-c00e-1dac-d8a6-9d64efc29714,Extize,extize,,2009,Electronic,Industrial,,,,,,,,compiled_multi_source
artist:008f7d75-48e1-3751-8620-3b0cf355eacb,Giovanni Mirabassi,giovanni mirabassi,,2005,Jazz,Jazz,,,,,,,,compiled_multi_source
artist:008fe456-def9-315f-c8e3-453e4fbe7220,Mc Tha,mc tha,,2016,Latin,Funk,,,,,,,,compiled_multi_source
artist:00914abe-5f7a-7656-1889-a423cf64c6b1,UFO95,ufo95,,2020,Electronic,Techno,,,,,,,,compiled_multi_source
artist:0091725d-c148-3609-35f7-dc6a321cbc70,VAX,vax,,2017,World,Swedish,,,,,,,,compiled_multi_source
artist:00917ab0-0c8e-aea2-f469-152839c9645e,Claudia Jung,claudia jung,,2007,Electronic,Disco,,,,,,,,compiled_multi_source
artist:0092fe08-f8cc-f477-f0c9-c6ddacfd74f7,Nathaniel Kimble,nathaniel kimble,,2007,Blues,Blues,,,,,,,,compiled_multi_source
artist:0094a2d6-57bf-6586-61f1-ae8986a7a6f7,Luis Moreno,luis moreno,,2002,Instrumental,Guitar,,,,,,,,compiled_multi_source
artist:00960133-2f8b-4425-9770-1d6df5f4adc9,Aalson,aalson,,2022,Electronic,Techno,,,,,,,,compiled_multi_source
artist:0096427f-a0df-9cf0-9a2f-5e5b0363955f,Royce Do Cavaco,royce do cavaco,,2015,Latin,Samba,,,,,,,,compiled_multi_source
artist:00994f4d-6073-ee25-bd40-1e07d4fadb6d,Kenzie Smith Piano,kenzie smith piano,,2015,Classical,Piano,,,,,,,,compiled_multi_source
artist:00997da5-d1f1-7a96-ae9d-0ac22ba06701,Walker Hayes,walker hayes,,2013,Country,Country,,,,,,,,compiled_multi_source
artist:009a9331-7a24-8d0f-bcd6-64b6fa5e79e8,BANNERS,banners,,2016,Pop,Indie Pop,732382.0,62.0,,,,,,compiled_multi_source
artist:009bf9d0-4741-34b5-d38d-2d8eb05037fb,Ying Yang Twins,ying yang twins,,2000,Electronic,Dance,,,,,,,,compiled_multi_source
artist:009c3e88-b329-a8be-9c4e-8ba923d2efa6,Sasha Ventura,sasha ventura,,2015,World,French,,,,,,,,compiled_multi_source
artist:009cc1cf-c310-d7ba-4a6b-53507b553ebc,Hiperboreal,hiperboreal,,2001,Electronic,Electronic,,,,,,,,compiled_multi_source
artist:009cf433-a4f4-5442-64cb-d4613aabbe3a,OIÜ,oi,,2018,Electronic,Club,,,,,,,,compiled_multi_source
artist:009cfa04-302c-864d-d1c2-cf0f72f96ce4,Kat Flint,kat flint,,2008,Folk,Singer-Songwriter,,,,,,,,compiled_multi_source
artist:009d12e1-152e-2170-34cb-91ae2c8f4ad0,Hobbyhorse,hobbyhorse,,2011,Instrumental,Guitar,,,,,,,,compiled_multi_source
artist:009d183c-dbdf-b03f-3837-ccf6c6a4b73e,Rich Mullins,rich mullins,,2017,Rock,Alt-Rock,,,,,,,,compiled_multi_source
artist:009f1d2b-200c-0aa2-ab92-246c716fdcd6,Drezo,drezo,,2015,Electronic,House,,,,,,,,compiled_multi_source
artist:009fbc0a-92ae-3c6c-5bfb-04424ed4a865,Walter Sickert & The Army Of Broken Toys,walter sickert  the army of broken toys,,2010,Rock,Goth,,,,,,,,compiled_multi_source
artist:009fff47-43eb-87e3-f71c-64452e8c1036,Cauto,cauto,,2009,Electronic,Dubstep,,,,,,,,compiled_multi_source
artist:00a00cfc-5745-c3b5-9202-ab06a67bb2dc,Irminsul,irminsul,,2010,Rock,Goth,,,,,,,,compiled_multi_source
artist:00a0a9e2-00e4-9358-6c0b-7e79fe115005,J Dilla,j dilla,,2001,Hip-Hop,Hip-Hop,,,,,,,,compiled_multi_source
artist:00a14028-7e75-b599-fc50-8616c4fc5c24,South Street Player,south street player,,2010,Rock,Garage Rock,,,,,,,,compiled_multi_source
artist:00a49631-2d05-a17b-da36-adbec6683edd,Kapono Beamer,kapono beamer,,2001,Instrumental,Guitar,,,,,,,,compiled_multi_source
artist:00a5afa7-1aa0-4bb4-b068-92fb85aaefe1,P.M. Dawn,pm dawn,,1993,R&B,R&B,,,,,,,,compiled_multi_source
artist:00a616d5-caaf-94d8-2a47-275101e3fa22,Obituary,obituary,,2001,Metal,Death Metal,,,,,,,,compiled_multi_source
artist:00a651ad-13e8-d156-2373-0960b9b2917d,George Eardley-Wilmot,george eardleywilmot,,2022,Classical,Piano,,,,,,,,compiled_multi_source
artist:00a66ec1-9dff-e0e1-a757-8b6f154b0e27,Yazz Ahmed,yazz ahmed,,2011,Jazz,Jazz,,,,,,,,compiled_multi_source
artist:00a6e603-8958-b611-6c15-419535d4720f,Soa mattrix,soa mattrix,,2022,R&B,Soul,,,,,,,,compiled_multi_source
artist:00a709db-6670-e08f-af40-637feb85be8d,Blood Ceremony,blood ceremony,,2008,Rock,Psych-Rock,,,,,,,,compiled_multi_source
artist:00a7455e-802d-5891-01bf-1f530db691de,Gilbert Montagné,gilbert montagn,,2001,World,French,,,,,,,,compiled_multi_source
artist:00a7f5a4-f590-4fe0-e92a-1ff012c53c5d,Majornine,majornine,,2018,Hip-Hop,Hip-Hop,,,,,,,,compiled_multi_source
artist:00a80993-7edd-c445-21da-9521269e75c6,Emma,emma,,2019,R&B,R&B,,,,,,,,compiled_multi_source
artist:00aae7bd-2674-2f3d-0474-ce35cd80e53c,The Heptanes,the heptanes,,2001,Rock,Goth,,,,,,,,compiled_multi_source
artist:00ab8aab-1eb1-946a-f77f-2a8294152466,Eat More Cake,eat more cake,,2019,Electronic,EDM,,,,,,,,compiled_multi_source
artist:00afd5fc-5823-9813-aad7-829aabe75b04,Vanish,vanish,,2017,World,German,,,,,,,,compiled_multi_source
artist:00b35665-d220-ff1c-ee30-b99c7ffae68e,Adult Child,adult child,,2006,Pop,K-Pop,,,,,,,,compiled_multi_source
