artist_id,name,name_normalized,spotify_followers,spotify_popularity
artist:000347dd-e0b0-a87a-8638-ea93e2fa1653,Baskerville,baskerville,,
artist:00048daf-510a-51ec-64c9-a347cc29b997,Shion Tsuji,shion tsuji,,
artist:00057abd-bcac-477a-074a-7e93e217674e,Yu Takahashi,yu takahashi,,
artist:0006978c-83ee-4981-1dd4-764bc9b27ef4,Jimmy Gourley,jimmy gourley,,
artist:00080783-707a-2414-a10e-00aa1c54622a,J Bas Y Santy,j bas y santy,,
artist:0008fec2-3531-0f7c-12b9-1a7563bdc77e,TK N Cash,tk n cash,,
artist:00090478-00b5-21c8-65c4-c4f308a979c9,Tango Siempre,tango siempre,,
artist:0009cfc6-a2f4-d888-2beb-aa5530427829,Kideko,kideko,,
artist:000a2f01-80fd-07f9-29d1-9c86e08a6bd1,Chris Young,chris young,2918550.0,65.0
artist:000c69c5-05fa-6523-313e-e2387ee41f4b,Lonely God,lonely god,,
artist:000c977a-0d0d-4f14-aba6-d77c71ea8bc5,Los Kjarkas,los kjarkas,,
artist:000d0194-cf8f-4d3a-fd99-14cf7a29fb1d,Shaun Escoffery,shaun escoffery,,
artist:000e81c5-e3f8-8bf7-2ce3-5c76f8a3f6cb,Gowan,gowan,,
artist:000f1456-1416-cddf-34ed-2097e6f9b46d,The Old Dead Tree,the old dead tree,,
artist:000fe1e9-c37f-2f5d-37f0-2ce3fa8b4a39,Nachtmystium,nachtmystium,,
artist:0010001b-3dea-5218-d756-b7c3bd664e07,Silenx,silenx,,
artist:0010c6d8-214b-2e0d-bcce-46f52cca3734,Despite,despite,,
artist:0011f16e-6c5a-5d81-9a45-189d59a91734,Super Lunch,super lunch,,
artist:00125f99-34cf-e480-9218-2f8174620340,Horkýže Slíže,horke sle,,
artist:00145b61-fc44-237f-1057-3083fcf472e7,Jung Jin Woo,jung jin woo,,
artist:0014d262-5eff-e370-246c-578505904e39,La Ska Brass,la ska brass,,
artist:0014e429-116b-1406-6294-233a717a5dfb,Color It Red,color it red,,
artist:0016cf6c-8711-bc16-0dfc-3d8aa1cef1a1,Superchunk,superchunk,,
artist:0017a731-969b-5397-cc4d-601917616f68,Daniele Mastracci,daniele mastracci,,
artist:001893ca-d478-ca4c-54c0-a0c1a6cd69f8,Joao Do Vale,joao do vale,,
artist:0018ed92-da5f-392d-70da-7c6dadfe649d,The Materia,the materia,,
artist:0018f48e-c1f9-09ec-3b42-e4b063d377b9,Autumnblaze,autumnblaze,,
artist:001af529-e98c-7669-3f7b-a9d789685125,ABstraXT,abstraxt,,
artist:001c6bda-cf8f-5316-6c94-40d67ed56918,Peter Fox,peter fox,,
artist:001de54b-ef75-00e7-6ac1-ee0130decc11,Aytee,aytee,,
artist:001f5a5f-5049-2fc9-53ac-d9cc31059ce2,Itadi,itadi,,
artist:002123f4-573a-846d-f9e4-79094f7f3a5e,Five Horse Johnson,five horse johnson,,
artist:00216c24-2ce7-b2b6-509a-e2595da40f03,Andrew Weatherall,andrew weatherall,,
artist:00242e04-9c41-d8b6-2be9-c5ca04b7870c,All Star Quartets!,all star quartets,,
artist:0026025c-7a13-0e28-a1b0-76a29efe051d,Scott Cossu,scott cossu,,
artist:0026835e-09c7-2b37-cd67-ab2c4bad6fb9,Cryptic Void,cryptic void,,
artist:002716d3-6ff9-943c-6126-f5b50e5c14ba,Palito Ortega,palito ortega,,
artist:002796cc-790f-7256-68ad-28e6411e97fa,Denis Impulsywni,denis impulsywni,,
artist:002a3b38-e944-fe21-99c5-d00a0ec14143,TV Noise,tv noise,,
artist:002a873f-65ed-1f49-2121-c0a424f5fa04,Daniella Babbitt,daniella babbitt,,
artist:002b0ded-dac1-8ebd-83a3-bee6f702705f,The Rudeboyz,the rudeboyz,,
artist:002b65bc-1a8b-bce9-0af7-db5e3f66897d,Boza,boza,,
artist:002c2ddc-4f30-fd61-d366-d948ff41073a,Dolly Shine,dolly shine,,
artist:002e0a9d-bd41-0597-cef3-38806d1f929e,The Dangerous Summer,the dangerous summer,,
artist:002ff1a7-ba54-f8d6-66a2-c68c32abc8c2,Elise Davis,elise davis,,
artist:00308e8e-4128-84af-b364-bc4fd7a92d49,Samantha Mumba,samantha mumba,,
artist:00312e97-dce0-7376-72df-d52fe5b857d1,Hayden Thompson,hayden thompson,,
artist:00315c5d-7fc7-6348-4e9f-d6cb8f9d1aa2,Giuseppe Ottaviani,giuseppe ottaviani,,
artist:00356022-9e11-b161-1e8e-bf9fd83b9ee8,Arthur Bull,arthur bull,,
artist:0035ac84-7bf9-e371-750c-acbc98ad827b,Hexvessel,hexvessel,,
artist:0038b285-c8d1-7597-906f-99b88cd0fb9d,Gharbi Sadok,gharbi sadok,,
artist:0039aee8-e3b5-084f-fd1a-4926fed829fa,Zuna,zuna,,
artist:003a09e3-a225-15f4-6ac5-5fe40aa186a7,Jesse Bru,jesse bru,,
artist:003c57d5-62c9-6560-85fc-b45d2a661005,Kweller,kweller,,
artist:003d1ffd-03d4-8bf5-cd25-d6f5d9bfc515,Los Belmonts,los belmonts,,
artist:003d643b-e8ca-3eb1-2ed9-0aac13c98e8f,Hardstyle Mafia,hardstyle mafia,,
artist:003dbc8b-e70c-b404-3a64-d2f4dbaab9d1,Carin Leon,carin leon,,
artist:003e3e34-7ef0-5230-5c84-8d1e9c83b264,Tears Of Velva,tears of velva,,
artist:003e9ff7-13b6-4a31-7c69-f60857d99700,Kick The Habit,kick the habit,,
artist:003f09d0-70d8-37ce-7d0f-fa7ba933649b,周麗淇,,,
artist:003f5a6f-06ec-c636-5f93-b1e2c173dd7b,Breakwater,breakwater,,
artist:003fd717-bac6-d99c-7f67-20d71329734b,Buzz Martin,buzz martin,,
artist:0040f066-8b28-bc72-7033-a510cbb398d8,Louis Vierne,louis vierne,,
artist:00415dcf-87e9-0d39-dad5-4805031b15a6,Elizabeth Cook,elizabeth cook,,
artist:00416cc3-2fdd-74a5-0851-442d4eccd18f,Zebatin,zebatin,,
artist:0041c3dc-c6ee-8335-d0ab-63ad198000e5,Salva Ortega,salva ortega,,
artist:0041f899-3922-9e0b-ac40-2febf08add68,Desmond Pringle,desmond pringle,,
artist:00424f87-9f82-aa5f-71b5-e5ca1d71ad5d,Grandtheft,grandtheft,,
artist:00431bd0-7cf0-c8fb-6b66-5596c4677cd3,The Chemical Brothers,the chemical brothers,,
artist:0043e72a-43a2-99f1-1dc4-ad7559e9c266,Ecostrike,ecostrike,,
artist:00448a6c-89cb-b67b-c140-92850de5e09b,Lady A,lady a,,
artist:00499452-fa50-1bb0-01a3-fedf04e2b5f2,Lani Mo,lani mo,,
artist:004c6da5-aa3d-3d77-1b56-8e988b9cc8ab,Tha Dogg Pound,tha dogg pound,,
artist:004cf6a7-8eb2-ede1-b86e-9c6527658cf0,Nekkrosis,nekkrosis,,
artist:004d8686-80b8-b009-4eed-e346e7f91195,Noréll,norll,,
