track_id,spotify_id,track_artist,title,release_year,track_age_days
spotify:track:0yLdNVWF3Srea0uzk55zFn,0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,2023,1121
spotify:track:4nrPB8O7Y7wsOCJdgXkthe,4nrPB8O7Y7wsOCJdgXkthe,Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",2023,1121
spotify:track:7oDd86yk8itslrA9HRP2ki,7oDd86yk8itslrA9HRP2ki,The Weeknd,Die For You - Remix,2023,1121
spotify:track:1Qrg8KqiBpW07V7PNxwwwL,1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,2022,1486
spotify:track:5ww2BF9slyYgNOk37BlC4u,5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,2022,1486
spotify:track:4uUG5RXrOk84mYEfFvj3cK,4uUG5RXrOk84mYEfFvj3cK,David Guetta,I'm Good (Blue),2022,1486
spotify:track:0WtM2NBVQNNJLh6scP13H8,0WtM2NBVQNNJLh6scP13H8,Rema,Calm Down (with Selena Gomez),2022,1486
spotify:track:0V3wPSX9ygBnCm8psDIegu,0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,2022,1486
spotify:track:2tTmW7RDtMQtBk7m2rYeSw,2tTmW7RDtMQtBk7m2rYeSw,Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",2022,1486
spotify:track:78Sw5GDo6AlGwTwanjXbGh,78Sw5GDo6AlGwTwanjXbGh,d4vd,Here With Me,2022,1486
spotify:track:65FftemJ1DbbZ45DUfHJXE,65FftemJ1DbbZ45DUfHJXE,NewJeans,OMG,2023,1121
spotify:track:3nqQXoyQOWXiESFLlDF1hG,3nqQXoyQOWXiESFLlDF1hG,Sam Smith,Unholy (feat. Kim Petras),2022,1486
spotify:track:1lRtH4FszTrwwlK5gTSbXO,1lRtH4FszTrwwlK5gTSbXO,Natanael Cano,AMG,2022,1486
spotify:track:2oiixB9QMIzhWaHGVlQx4g,2oiixB9QMIzhWaHGVlQx4g,Yandel,Yandel 150,2022,1486
spotify:track:1Y3LN4zO1Edc2EluIoSPJN,1Y3LN4zO1Edc2EluIoSPJN,Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,2022,1486
spotify:track:5XeFesFbtLpXzIVDNQP22n,5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,2013,4773
spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,2022,1486
spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,2022,1486
spotify:track:3r8RuvgbX9s7ammBn07D3W,3r8RuvgbX9s7ammBn07D3W,NewJeans,Ditto,2022,1486
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,2020,2216
