track_id,streams_total,streams_is_estimated,playlist_appearances,chart_peak_position,weeks_on_chart,monthly_listeners
spotify:track:0yLdNVWF3Srea0uzk55zFn,1316855716,false,12211,,,
spotify:track:4nrPB8O7Y7wsOCJdgXkthe,,true,0,,,
spotify:track:7oDd86yk8itslrA9HRP2ki,,true,0,,,
spotify:track:1Qrg8KqiBpW07V7PNxwwwL,49884805,false,8109,,,
spotify:track:5ww2BF9slyYgNOk37BlC4u,46825328,false,6804,,,
spotify:track:4uUG5RXrOk84mYEfFvj3cK,75294822,false,0,,,
spotify:track:0WtM2NBVQNNJLh6scP13H8,,true,0,,,
spotify:track:0V3wPSX9ygBnCm8psDIegu,124825787,false,9082,,,
spotify:track:2tTmW7RDtMQtBk7m2rYeSw,50396055,false,0,,,
spotify:track:78Sw5GDo6AlGwTwanjXbGh,30491119,false,3246,,,
spotify:track:65FftemJ1DbbZ45DUfHJXE,430977451,false,1783,,,
spotify:track:3nqQXoyQOWXiESFLlDF1hG,,true,0,,,
spotify:track:1lRtH4FszTrwwlK5gTSbXO,,true,0,,,
spotify:track:2oiixB9QMIzhWaHGVlQx4g,,true,0,,,
spotify:track:1Y3LN4zO1Edc2EluIoSPJN,,true,0,,,
spotify:track:5XeFesFbtLpXzIVDNQP22n,32996699,false,12859,,,
spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,122488638,false,8431,,,
spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,16647244,false,2839,,,
spotify:track:3r8RuvgbX9s7ammBn07D3W,3707974,false,1154,,,
spotify:track:0VjIjW4GlUZAMYd2vXMi3b,644287953,false,43899,1.0,90.0,
spotify:track:5Z2MiIZ5I3jJvvmeWMLbOQ,10733718,false,0,,,
spotify:track:4LRPiXqCikLlN15c3yImP7,348668080,false,23575,,,
spotify:track:2mpoNBkngUEwnaKoBhZ0vl,,true,0,,,
spotify:track:1zsPaEkglFvxjAhrM8yhpr,,true,0,,,
spotify:track:1xK59OXxi2TAAAbmZK0kBL,112839982,false,2335,,,
spotify:track:561jH07mF1jHuk7KlaeF0s,15464258,false,12985,11.0,20.0,
spotify:track:1bDbXMyjaUIooNwFE9wn0N,97928728,false,0,,,
spotify:track:5IgjP7X4th6nMNDh4akUHb,65353666,false,3859,,,
spotify:track:73vIOb4Q7YN6HeJTbscRx5,27833633,false,0,,,
spotify:track:2L9N0zZnd37dwF0clgxMGI,293186992,false,3242,,,
spotify:track:38UYeBLfvpnDSG9GznZdnL,,true,0,,,
spotify:track:54ELExv56KCAB4UP9cOCzC,4302587,false,0,,,
